"","StatRec","HaulLat","HaulLong","num_hauls","total_area","total_abundance"
"1","44G9",57.7517,19.475,7,0.4717,13498603.2045
"2","43G6",57.3727,16.9018,1,0.0789,3051157.6952
"3","43G9",57.368,19.1852,3,0.204,2855296.2008
"4","43G7",57.4773,17.0717,4,0.2817,2553621.358
"5","45G9",58.4548,19.3955,3,0.2051,1369422.3873
"6","40G5",55.69,15.1087,5,0.3482,665288.3597
"7","40G4",55.6893,14.8635,7,0.4963,233669.8843
"8","42G6",56.6928,16.9988,1,0.0685,224508.2027
"9","43G8",57.0598,18.8307,3,0.215,77128.3175
"10","41G6",56.4802,16.9587,1,0.0732,27036.8005
